[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.462119

Silhouette trung bình theo từng cluster:
- Cluster 325: silhouette_mean=0.715090, so_diem=47
- Cluster 326: silhouette_mean=0.399970, so_diem=446
- Cluster 327: silhouette_mean=0.587630, so_diem=233
- Cluster 328: silhouette_mean=0.291072, so_diem=418
- Cluster 329: silhouette_mean=0.389168, so_diem=1006
- Cluster 330: silhouette_mean=0.506763, so_diem=324
- Cluster 331: silhouette_mean=0.644474, so_diem=225
- Cluster 332: silhouette_mean=0.452506, so_diem=264
- Cluster 333: silhouette_mean=0.386049, so_diem=188
- Cluster 334: silhouette_mean=0.587574, so_diem=325
- Cluster 335: silhouette_mean=0.840907, so_diem=87
- Cluster 336: silhouette_mean=0.321897, so_diem=187
- Cluster 337: silhouette_mean=0.406614, so_diem=251
- Cluster 338: silhouette_mean=0.581000, so_diem=192
- Cluster 339: silhouette_mean=0.330942, so_diem=319
- Cluster 340: silhouette_mean=0.334925, so_diem=78
- Cluster 341: silhouette_mean=0.322455, so_diem=345
- Cluster 342: silhouette_mean=0.354487, so_diem=349
- Cluster 343: silhouette_mean=0.278472, so_diem=132
- Cluster 344: silhouette_mean=0.630594, so_diem=100
- Cluster 345: silhouette_mean=0.406003, so_diem=166
- Cluster 346: silhouette_mean=0.660564, so_diem=608
- Cluster 347: silhouette_mean=0.922862, so_diem=72
- Cluster 348: silhouette_mean=0.761985, so_diem=297
- Cluster 349: silhouette_mean=0.571589, so_diem=843
- Cluster 350: silhouette_mean=0.634857, so_diem=431
- Cluster 351: silhouette_mean=0.344114, so_diem=348
- Cluster 352: silhouette_mean=0.426190, so_diem=292
- Cluster 353: silhouette_mean=0.754507, so_diem=74
- Cluster 354: silhouette_mean=0.412421, so_diem=274
- Cluster 355: silhouette_mean=0.332623, so_diem=296
- Cluster 356: silhouette_mean=0.459053, so_diem=462
- Cluster 357: silhouette_mean=0.513854, so_diem=207
- Cluster 358: silhouette_mean=0.610027, so_diem=187
- Cluster 359: silhouette_mean=0.335860, so_diem=368
- Cluster 360: silhouette_mean=0.393586, so_diem=459
- Cluster 361: silhouette_mean=0.392329, so_diem=361
- Cluster 362: silhouette_mean=0.523544, so_diem=246
- Cluster 363: silhouette_mean=0.462630, so_diem=929
- Cluster 364: silhouette_mean=0.426132, so_diem=256
- Cluster 365: silhouette_mean=0.425764, so_diem=641
- Cluster 366: silhouette_mean=0.397599, so_diem=752
- Cluster 367: silhouette_mean=0.467135, so_diem=430
- Cluster 368: silhouette_mean=0.291148, so_diem=569
- Cluster 369: silhouette_mean=0.498756, so_diem=276
- Cluster 370: silhouette_mean=0.448038, so_diem=300
- Cluster 371: silhouette_mean=0.541320, so_diem=148
- Cluster 372: silhouette_mean=0.471613, so_diem=332
- Cluster 373: silhouette_mean=0.382987, so_diem=362
- Cluster 374: silhouette_mean=0.345449, so_diem=393
- Cluster 375: silhouette_mean=0.547886, so_diem=261
- Cluster 376: silhouette_mean=0.375703, so_diem=297
- Cluster 377: silhouette_mean=0.407842, so_diem=318
- Cluster 378: silhouette_mean=0.495463, so_diem=497
- Cluster 379: silhouette_mean=0.503337, so_diem=180
- Cluster 380: silhouette_mean=0.538167, so_diem=137
- Cluster 381: silhouette_mean=0.657626, so_diem=127
- Cluster 382: silhouette_mean=0.580624, so_diem=153
- Cluster 383: silhouette_mean=0.360719, so_diem=206
- Cluster 384: silhouette_mean=0.327201, so_diem=265
- Cluster 385: silhouette_mean=0.492883, so_diem=199
